국가명,평균비중,표준편차
나이지리아,0.007000000000000001,0.0013765899897936207
스리랑카,0.00694,0.00015165750888103074
쿠웨이트,0.0054800000000000005,0.0014060583202698243
터키,0.0049,0.0007615773105863909
인도,0.00412,8.366600265340738e-05
알제리,0.00402,0.0013405222862750176
카타르,0.00366,0.0012218837915284738
이라크,0.00358,0.004166773331968035
사우디아라비아,0.00356,0.0006730527468185533
우즈베키스탄,0.00354,0.0035697338836389466
레바논,0.0035000000000000005,0.003194526568992658
이집트,0.00306,0.00011401754250991388
아랍에미리트 연합,0.00222,0.0004919349550499537
모로코,0.0021999999999999997,0.0004358898943540674
베트남,0.0021999999999999997,0.00023452078799117142
튀니지,0.00212,0.0003114482300479488
칠레,0.0021000000000000003,0.0001732050807568877
포르투갈,0.00206,0.00015165750888103107
인도네시아,0.00204,0.00011401754250991391
태국,0.00184,8.944271909999155e-05
남아프리카공화국,0.00182,0.0003420526275297412
이스라엘,0.0017399999999999998,0.0002302172886644267
스페인,0.0016799999999999999,0.00036331804249169897
리투아니아,0.0016400000000000002,0.0010549881515922346
이탈리아,0.0015400000000000001,0.00047222875812470374
중국,0.00148,8.366600265340744e-05
벨기에,0.00142,0.0002167948338867879
필리핀,0.00136,8.944271909999175e-05
대만,0.0013000000000000002,0.00015811388300841905
스위스,0.0013000000000000002,0.000273861278752583
프랑스,0.00126,0.00016733200530681512
벨라루스,0.0012200000000000002,0.000957601169589929
파나마,0.00104,0.0007092249290598858
폴란드,0.001,7.071067811865482e-05
말레이시아,0.0009600000000000001,0.000151657508881031
호주,0.0009400000000000001,0.0001140175425099138
뉴질랜드,0.00088,0.00013038404810405298
핀란드,0.0008399999999999999,0.00027018512172212586
탄자니아,0.0008399999999999999,0.0003911521443121589
일본,0.0008399999999999999,5.47722557505166e-05
네덜란드,0.00074,0.00013416407864998744
페루,0.00074,0.00011401754250991381
싱가포르,0.00058,0.00014832396974191327
에콰도르,0.00052,0.0004147288270665544
엘살바도르,0.0005,9.999999999999995e-05
오스트리아,0.0005,0.00036742346141747673
슬로베니아,0.00048000000000000007,0.0001483239697419133
체코,0.00047999999999999996,0.00032710854467592253
슬로바키아,0.00047999999999999996,0.0002683281572999747
덴마크,0.00044,0.000409878030638384
영국,0.00042000000000000007,8.366600265340756e-05
노르웨이,0.00035999999999999997,5.477225575051663e-05
스웨덴,0.00035999999999999997,8.94427190999916e-05
헝가리,0.00031999999999999997,0.00014832396974191327
콜롬비아,0.00030000000000000003,0.0001
불가리아,0.00028,0.00017888543819998318
러시아,0.00028,0.00013038404810405298
도미니카공화국,0.00028,8.366600265340756e-05
니카라과,0.00026,0.0001816590212458495
독일,0.00026,5.4772255750516586e-05
미국,0.0002,0.0
아일랜드,0.0002,0.0001414213562373095
아르헨티나,0.00016,5.477225575051662e-05
브라질,0.00016,8.944271909999159e-05
코스타리카,0.00016,0.00019493588689617928
루마니아,0.00014,5.477225575051662e-05
멕시코,0.00014,5.4772255750516614e-05
세르비아,0.0001,0.0001
몽골,0.0001,0.0001414213562373095
온두라스,8e-05,0.00017888543819998318
과테말라,8e-05,0.00010954451150103323
캐나다,6.000000000000001e-05,5.4772255750516614e-05
아제르바이잔,6.000000000000001e-05,8.94427190999916e-05
그리스,0.0,0.0
룩셈부르크,0.0,0.0
자메이카,0.0,0.0
우크라이나,0.0,0.0
