국가명,2017,2018,2019,2020,2021
중국,0.16,0.14,0.15,0.15,0.14
브라질,0.03,0.02,0.01,0.01,0.01
인도네시아,0.2,0.21,0.22,0.2,0.19
대만,0.14,0.13,0.15,0.12,0.11
터키,0.41,0.41,0.51,0.55,0.57
아르헨티나,0.02,0.02,0.01,0.02,0.01
남아프리카공화국,0.21,0.2,0.15,0.14,0.21
콜롬비아,0.04,0.03,0.02,0.02,0.04
일본,0.09,0.08,0.09,0.08,0.08
호주,0.1,0.11,0.09,0.09,0.08
미국,0.02,0.02,0.02,0.02,0.02
캐나다,0.01,0.01,0.01,0.0,0.0
룩셈부르크,0.0,0.0,0.0,0.0,0.0
폴란드,0.11,0.1,0.1,0.1,0.09
프랑스,0.13,0.13,0.11,0.11,0.15
독일,0.03,0.03,0.03,0.02,0.02
덴마크,0.11,0.05,0.01,0.01,0.04
스위스,0.17,0.14,0.13,0.11,0.1
멕시코,0.01,0.02,0.02,0.01,0.01
루마니아,0.02,0.02,0.01,0.01,0.01
벨기에,0.11,0.13,0.16,0.16,0.15
아랍에미리트 연합,0.24,0.27,0.26,0.18,0.16
인도,0.41,0.42,0.42,0.41,0.4
싱가포르,0.08,0.06,0.06,0.05,0.04
코스타리카,0.05,0.01,0.01,0.01,0.0
베트남,0.24,0.24,0.19,0.2,0.23
말레이시아,0.11,0.11,0.1,0.08,0.08
아일랜드,0.02,0.0,0.04,0.02,0.02
필리핀,0.14,0.14,0.12,0.14,0.14
이탈리아,0.2,0.19,0.17,0.12,0.09
이스라엘,0.17,0.18,0.21,0.15,0.16
스페인,0.2,0.2,0.18,0.14,0.12
과테말라,0.02,0.02,0.0,0.0,0.0
영국,0.04,0.03,0.04,0.05,0.05
사우디아라비아,0.43,0.38,0.34,0.38,0.25
네덜란드,0.05,0.08,0.08,0.08,0.08
칠레,0.22,0.22,0.22,0.21,0.18
태국,0.19,0.18,0.19,0.19,0.17
카타르,0.5,0.49,0.33,0.24,0.27
몽골,0.02,0.03,0.0,0.0,0.0
페루,0.08,0.09,0.07,0.07,0.06
헝가리,0.04,0.03,0.03,0.01,0.05
우크라이나,0.0,0.0,0.0,0.0,0.0
오스트리아,0.11,0.05,0.04,0.04,0.01
슬로베니아,0.05,0.04,0.03,0.05,0.07
스웨덴,0.03,0.05,0.03,0.04,0.03
파나마,0.05,0.2,0.16,0.06,0.05
쿠웨이트,0.66,0.69,0.59,0.42,0.38
그리스,0.0,0.0,0.0,0.0,0.0
이라크,0.82,0.8,0.15,0.0,0.02
불가리아,0.04,0.03,0.01,0.05,0.01
핀란드,0.13,0.07,0.08,0.08,0.06
체코,0.09,0.06,0.06,0.02,0.01
노르웨이,0.04,0.04,0.03,0.03,0.04
러시아,0.03,0.04,0.04,0.02,0.01
도미니카공화국,0.04,0.02,0.03,0.02,0.03
아제르바이잔,0.0,0.0,0.01,0.02,0.0
포르투갈,0.19,0.22,0.21,0.19,0.22
에콰도르,0.1,0.06,0.02,0.0,0.08
엘살바도르,0.05,0.04,0.06,0.04,0.06
슬로바키아,0.09,0.05,0.05,0.03,0.02
리투아니아,0.33,0.11,0.06,0.2,0.12
이집트,0.31,0.3,0.31,0.29,0.32
알제리,0.47,0.42,0.51,0.44,0.17
벨라루스,0.26,0.17,0.09,0.08,0.01
우즈베키스탄,0.85,0.59,0.25,0.04,0.04
스리랑카,0.71,0.71,0.68,0.68,0.69
뉴질랜드,0.09,0.08,0.11,0.08,0.08
온두라스,0.04,0.0,0.0,0.0,0.0
튀니지,0.25,0.24,0.19,0.2,0.18
모로코,0.17,0.23,0.25,0.18,0.27
레바논,0.65,0.59,0.5,0.0,0.01
세르비아,0.0,0.02,0.02,0.0,0.01
자메이카,0.0,0.0,0.0,0.0,0.0
니카라과,0.01,0.01,0.02,0.05,0.04
탄자니아,0.06,0.09,0.12,0.12,0.03
나이지리아,0.85,0.85,0.58,0.6,0.62
